month,available_date,gbm_usd_yoy_pct,gbm_fxn_yoy_pct,fx_effect_pp,usd_z,usd_score,fxn_z,fxn_score
2017-07,2017-08-31,6.06221349744561,6.775984238260289,-0.7137707408146792,,,,
2017-08,2017-09-30,6.511249279939197,6.668292778740637,-0.15704349880143997,,,,
2017-09,2017-10-31,7.701061775766465,6.766549583753742,0.9345121920127228,,,,
2017-10,2017-11-30,7.874646273543733,6.633483003640014,1.2411632699037192,,,,
2017-11,2017-12-31,9.533941269338456,6.602844883495476,2.93109638584298,,,,
2017-12,2018-01-31,11.63964233353106,6.309787993899077,5.329854339631984,2.0902298423479815,84.83716403913303,-1.8453860738773171,19.243565435378045
2018-01,2018-02-28,13.237263830058625,6.053357899678199,7.183905930380426,2.3025512202949265,88.37585367158212,-2.1363060173596002,14.394899710673329
2018-02,2018-03-31,13.895361251297544,5.913395222805935,7.981966028491609,2.2634625606476915,87.72437601079486,-2.1912638928733026,13.478935118778288
2018-03,2018-04-30,13.78455532966203,5.470220381032429,8.3143349486296,2.078571889289323,84.64286482148871,-2.6126640475843788,6.455599206927019
2018-04,2018-05-31,12.981603546902518,5.3801165576261445,7.601486989276373,1.7914275581789039,79.8571259696484,-2.4894583451072356,8.509027581546071
2018-05,2018-06-30,10.757237873972771,5.465196882384474,5.292040991588298,1.2536727211947383,70.89454535324563,-2.1952478630923786,13.41253561512702
2018-06,2018-07-31,8.618505151745035,5.4017261430670995,3.2167790086779355,0.7650988769377859,62.7516479489631,-2.1249907835204676,14.583486941325539
2018-07,2018-08-31,6.091165828875794,5.523123498654013,0.5680423302217807,0.20012270669877166,53.335378444979526,-1.864881449951905,18.918642500801578
2018-08,2018-09-30,3.3492553900862814,5.288003940147709,-1.9387485500614274,-0.4114942271654951,43.14176288057508,-2.026321417389621,16.22797637683965
2018-09,2018-10-31,2.5360705591384907,5.275395689806582,-2.7393251306680915,-0.5873126857902785,40.21145523682869,-1.9310646457024288,17.81558923829285
2018-10,2018-11-30,2.5987841026934007,5.109720539875657,-2.5109364371822567,-0.5646831912169639,40.58861347971727,-2.002623273772063,16.62294543713228
2018-11,2018-12-31,2.143106255759531,5.023139355163846,-2.8800330994043155,-0.6594702165501192,39.00882972416468,-1.9852698344397754,16.912169426003743
